date,region,rw,population,inference,cases,hospit,deaths,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-11-14,zealand,107,838840,false,103,7,1,130.57142857142858,4.857142857142857,0.14285714285714285,12.278861284631157,0.8344857183729912,0.1192122454818559,104.78756377855134,5.006914310237948,0.3576367364455677,7647,777,138
2020-11-15,zealand,108,838840,false,110,3,0,129.85714285714286,4.857142857142857,0.14285714285714285,13.113347003004149,0.3576367364455677,0.0,107.17180868818845,4.530065328310524,0.1192122454818559,7757,780,138
2020-11-16,zealand,109,838840,false,143,6,0,133.0,5.714285714285714,0.14285714285714285,17.04735110390539,0.7152734728911354,0.0,110.15211482523483,4.2916408373468125,0.1192122454818559,7900,786,138
2020-11-17,zealand,110,838840,false,137,4,0,133.71428571428572,5.571428571428571,0.14285714285714285,16.332077631014258,0.4768489819274236,0.0,108.9599923704163,4.0532163463831,0.1192122454818559,8037,790,138
2020-11-18,zealand,111,838840,false,147,6,0,134.85714285714286,5.285714285714286,0.2857142857142857,17.524200085832817,0.7152734728911354,0.0,108.36393114300701,4.0532163463831,0.1192122454818559,8184,796,138
2020-11-19,zealand,112,838840,false,140,9,0,132.71428571428572,5.285714285714286,0.5714285714285714,16.689714367459825,1.0729102093367031,0.0,110.98660054360784,4.768489819274236,0.1192122454818559,8324,805,138
2020-11-20,zealand,113,838840,false,156,4,0,132.71428571428572,5.428571428571429,0.5714285714285714,18.59711029516952,0.4768489819274236,0.0,111.58266177101711,4.64927757379238,0.1192122454818559,8480,809,138
2020-11-21,zealand,114,838840,false,111,5,2,134.57142857142858,5.571428571428571,0.7142857142857143,13.232559248486004,0.5960612274092795,0.2384244909637118,112.53635973487197,4.410853082828668,0.2384244909637118,8591,814,140
2020-11-22,zealand,115,838840,false,95,3,2,137.85714285714286,5.857142857142857,0.7142857142857143,11.32516332077631,0.3576367364455677,0.2384244909637118,110.74817605264413,4.410853082828668,0.4768489819274236,8686,817,142
2020-11-23,zealand,116,838840,false,143,7,0,141.28571428571428,5.571428571428571,0.8571428571428571,17.04735110390539,0.8344857183729912,0.0,110.74817605264413,4.530065328310524,0.4768489819274236,8829,824,142
2020-11-24,zealand,117,838840,false,150,5,1,138.0,5.428571428571429,0.8571428571428571,17.881836822278384,0.5960612274092795,0.1192122454818559,112.29793524390827,4.64927757379238,0.5960612274092795,8979,829,143
