"Region";"Dato";"Bekræftede tilfælde"
Syddanmark;2020-07-11;2
Hovedstaden;2020-07-12;14
Midtjylland;2020-07-12;1
Nordjylland;2020-07-12;2
Sjælland;2020-07-12;5
Hovedstaden;2020-07-13;15
Midtjylland;2020-07-13;6
Sjælland;2020-07-13;9
Syddanmark;2020-07-13;2
Hovedstaden;2020-07-14;19
Midtjylland;2020-07-14;4
Nordjylland;2020-07-14;1
Sjælland;2020-07-14;5
Syddanmark;2020-07-14;4
Hovedstaden;2020-07-15;31
Midtjylland;2020-07-15;3
Nordjylland;2020-07-15;2
Sjælland;2020-07-15;4
Syddanmark;2020-07-15;2
Hovedstaden;2020-07-16;33
Midtjylland;2020-07-16;5
Sjælland;2020-07-16;9
Syddanmark;2020-07-16;5
Hovedstaden;2020-07-17;19
Midtjylland;2020-07-17;1
Nordjylland;2020-07-17;2
Sjælland;2020-07-17;10
Hovedstaden;2020-07-18;30
Sjælland;2020-07-18;13
Hovedstaden;2020-07-19;18
Midtjylland;2020-07-19;1
Nordjylland;2020-07-19;2
Sjælland;2020-07-19;7
Hovedstaden;2020-07-20;21
Midtjylland;2020-07-20;3
Sjælland;2020-07-20;7
Syddanmark;2020-07-20;1
Hovedstaden;2020-07-21;27
Midtjylland;2020-07-21;2
Nordjylland;2020-07-21;3
Sjælland;2020-07-21;4
Hovedstaden;2020-07-22;22
Nordjylland;2020-07-22;4
Sjælland;2020-07-22;6
Syddanmark;2020-07-22;2
Hovedstaden;2020-07-23;36
Midtjylland;2020-07-23;2
Nordjylland;2020-07-23;3
Sjælland;2020-07-23;5
Syddanmark;2020-07-23;5
Hovedstaden;2020-07-24;21
Midtjylland;2020-07-24;8
Nordjylland;2020-07-24;1
Sjælland;2020-07-24;2
Syddanmark;2020-07-24;4
Hovedstaden;2020-07-25;9
Midtjylland;2020-07-25;5
Nordjylland;2020-07-25;1
Sjælland;2020-07-25;9
Syddanmark;2020-07-25;3
Hovedstaden;2020-07-26;12
Midtjylland;2020-07-26;4
Nordjylland;2020-07-26;1
Sjælland;2020-07-26;2
Syddanmark;2020-07-26;4
Hovedstaden;2020-07-27;23
Midtjylland;2020-07-27;6
Nordjylland;2020-07-27;2
Sjælland;2020-07-27;22
Syddanmark;2020-07-27;10
Hovedstaden;2020-07-28;30
