"Region";"Dato";"Indlæggelser"
Nordjylland;2020-06-24;3
Hovedstaden;2020-06-25;3
Nordjylland;2020-06-25;1
Sjælland;2020-06-25;1
Hovedstaden;2020-06-26;1
Hovedstaden;2020-06-27;1
Midtjylland;2020-06-27;1
Nordjylland;2020-06-27;1
Sjælland;2020-06-27;1
Hovedstaden;2020-06-28;1
Nordjylland;2020-06-28;4
Sjælland;2020-06-28;1
Hovedstaden;2020-06-29;1
Nordjylland;2020-06-29;2
Hovedstaden;2020-07-01;1
Sjælland;2020-07-01;1
Hovedstaden;2020-07-02;2
Nordjylland;2020-07-02;1
Syddanmark;2020-07-02;1
Midtjylland;2020-07-03;1
Hovedstaden;2020-07-05;1
Syddanmark;2020-07-05;1
Hovedstaden;2020-07-06;1
Sjælland;2020-07-06;1
Hovedstaden;2020-07-07;1
Nordjylland;2020-07-07;1
Nordjylland;2020-07-08;1
Hovedstaden;2020-07-09;1
Sjælland;2020-07-09;1
Syddanmark;2020-07-09;1
Hovedstaden;2020-07-10;1
Nordjylland;2020-07-10;2
Hovedstaden;2020-07-11;4
Nordjylland;2020-07-11;1
Hovedstaden;2020-07-14;2
Midtjylland;2020-07-14;1
Hovedstaden;2020-07-15;2
Sjælland;2020-07-15;1
Hovedstaden;2020-07-16;1
Hovedstaden;2020-07-17;2
Sjælland;2020-07-17;1
Hovedstaden;2020-07-18;2
Hovedstaden;2020-07-19;1
Sjælland;2020-07-19;1
Hovedstaden;2020-07-20;2
Sjælland;2020-07-20;1
Hovedstaden;2020-07-21;2
Hovedstaden;2020-07-22;3
Midtjylland;2020-07-22;1
Nordjylland;2020-07-23;1
Sjælland;2020-07-24;1
Syddanmark;2020-07-24;1
Hovedstaden;2020-07-25;2
Sjælland;2020-07-25;2
Syddanmark;2020-07-25;1
Hovedstaden;2020-07-26;1
Sjælland;2020-07-26;1
Hovedstaden;2020-07-27;2
Sjælland;2020-07-27;1
Hovedstaden;2020-07-28;1
Sjælland;2020-07-28;1
Hovedstaden;2020-07-29;2
Midtjylland;2020-07-29;2
Sjælland;2020-07-29;2
Hovedstaden;2020-07-30;2
Nordjylland;2020-07-30;1
Sjælland;2020-07-30;2
Midtjylland;2020-07-31;2
Syddanmark;2020-07-31;1
Midtjylland;2020-08-01;3
Sjælland;2020-08-01;1
Sjælland;2020-08-02;2
Hovedstaden;2020-08-03;1
Midtjylland;2020-08-03;3
Sjælland;2020-08-03;2
Syddanmark;2020-08-03;1
Hovedstaden;2020-08-04;1
Midtjylland;2020-08-04;1
Sjælland;2020-08-04;3
Hovedstaden;2020-08-05;3
Midtjylland;2020-08-05;4
Nordjylland;2020-08-06;1
Sjælland;2020-08-06;1
Syddanmark;2020-08-06;1
Hovedstaden;2020-08-07;2
Midtjylland;2020-08-07;3
Midtjylland;2020-08-08;2
Sjælland;2020-08-08;1
Midtjylland;2020-08-09;1
Sjælland;2020-08-09;1
Hovedstaden;2020-08-10;1
Midtjylland;2020-08-10;2
Sjælland;2020-08-10;1
Hovedstaden;2020-08-11;1
Midtjylland;2020-08-11;1
Sjælland;2020-08-11;1
Hovedstaden;2020-08-12;1
Nordjylland;2020-08-12;1
Sjælland;2020-08-12;1
Hovedstaden;2020-08-13;2
Nordjylland;2020-08-13;1
Hovedstaden;2020-08-14;2
Midtjylland;2020-08-14;2
Sjælland;2020-08-14;1
Sjælland;2020-08-15;2
Hovedstaden;2020-08-16;1
Midtjylland;2020-08-16;3
Nordjylland;2020-08-16;1
Hovedstaden;2020-08-17;2
Midtjylland;2020-08-17;3
Nordjylland;2020-08-17;1
Sjælland;2020-08-17;2
Hovedstaden;2020-08-18;1
Hovedstaden;2020-08-19;1
Midtjylland;2020-08-19;1
Nordjylland;2020-08-19;1
Sjælland;2020-08-19;1
Syddanmark;2020-08-19;1
Hovedstaden;2020-08-20;1
Midtjylland;2020-08-20;5
Sjælland;2020-08-20;1
Midtjylland;2020-08-21;2
Nordjylland;2020-08-21;2
Syddanmark;2020-08-21;1
Hovedstaden;2020-08-22;2
Nordjylland;2020-08-22;1
Hovedstaden;2020-08-23;1
Midtjylland;2020-08-23;1
Nordjylland;2020-08-23;1
Syddanmark;2020-08-23;1
Hovedstaden;2020-08-24;1
Midtjylland;2020-08-24;1
Hovedstaden;2020-08-25;2
Midtjylland;2020-08-25;1
Hovedstaden;2020-08-26;2
Nordjylland;2020-08-26;1
Sjælland;2020-08-26;3
Sjælland;2020-08-27;1
Hovedstaden;2020-08-28;2
Midtjylland;2020-08-28;1
Nordjylland;2020-08-28;1
Hovedstaden;2020-08-29;1
Hovedstaden;2020-08-30;2
Midtjylland;2020-08-30;1
Hovedstaden;2020-08-31;2
Midtjylland;2020-08-31;1
Sjælland;2020-08-31;2
Syddanmark;2020-08-31;1
Hovedstaden;2020-09-01;1
Hovedstaden;2020-09-02;2
Syddanmark;2020-09-02;2
Hovedstaden;2020-09-03;2
Midtjylland;2020-09-03;1
Hovedstaden;2020-09-04;4
Midtjylland;2020-09-04;2
Syddanmark;2020-09-04;2
Hovedstaden;2020-09-05;5
Midtjylland;2020-09-05;4
Nordjylland;2020-09-05;2
Syddanmark;2020-09-05;1
Hovedstaden;2020-09-06;6
Midtjylland;2020-09-06;1
Nordjylland;2020-09-06;1
Syddanmark;2020-09-06;1
Hovedstaden;2020-09-07;5
Midtjylland;2020-09-07;1
Syddanmark;2020-09-07;1
Hovedstaden;2020-09-08;2
Nordjylland;2020-09-08;1
Sjælland;2020-09-08;1
Syddanmark;2020-09-08;2
Hovedstaden;2020-09-09;8
Midtjylland;2020-09-09;1
Nordjylland;2020-09-09;1
Sjælland;2020-09-09;1
Syddanmark;2020-09-09;2
Hovedstaden;2020-09-10;10
Midtjylland;2020-09-10;1
Nordjylland;2020-09-10;2
Sjælland;2020-09-10;1
Hovedstaden;2020-09-11;4
Midtjylland;2020-09-11;3
Nordjylland;2020-09-11;1
Sjælland;2020-09-11;3
Hovedstaden;2020-09-12;10
Midtjylland;2020-09-12;2
Nordjylland;2020-09-12;1
Sjælland;2020-09-12;1
Syddanmark;2020-09-12;3
Hovedstaden;2020-09-13;5
Midtjylland;2020-09-13;1
Sjælland;2020-09-13;2
Syddanmark;2020-09-13;2
Hovedstaden;2020-09-14;7
Nordjylland;2020-09-14;2
Sjælland;2020-09-14;2
Syddanmark;2020-09-14;2
Hovedstaden;2020-09-15;9
Midtjylland;2020-09-15;3
Nordjylland;2020-09-15;1
Hovedstaden;2020-09-16;12
Midtjylland;2020-09-16;2
Nordjylland;2020-09-16;3
Sjælland;2020-09-16;1
Syddanmark;2020-09-16;2
Hovedstaden;2020-09-17;3
Midtjylland;2020-09-17;3
Nordjylland;2020-09-17;3
Sjælland;2020-09-17;3
Hovedstaden;2020-09-18;9
Midtjylland;2020-09-18;1
Nordjylland;2020-09-18;1
Sjælland;2020-09-18;2
Hovedstaden;2020-09-19;10
Midtjylland;2020-09-19;4
Nordjylland;2020-09-19;4
Sjælland;2020-09-19;2
Syddanmark;2020-09-19;4
Hovedstaden;2020-09-20;13
Midtjylland;2020-09-20;3
Nordjylland;2020-09-20;1
Syddanmark;2020-09-20;2
Hovedstaden;2020-09-21;10
Midtjylland;2020-09-21;1
Nordjylland;2020-09-21;4
Sjælland;2020-09-21;1
Syddanmark;2020-09-21;4
Hovedstaden;2020-09-22;9
Midtjylland;2020-09-22;2
Sjælland;2020-09-22;2
Syddanmark;2020-09-22;1
Hovedstaden;2020-09-23;12
Midtjylland;2020-09-23;2
Nordjylland;2020-09-23;3
Sjælland;2020-09-23;5
Syddanmark;2020-09-23;2
Hovedstaden;2020-09-24;10
Midtjylland;2020-09-24;4
Nordjylland;2020-09-24;3
Sjælland;2020-09-24;3
Syddanmark;2020-09-24;6
Hovedstaden;2020-09-25;12
Midtjylland;2020-09-25;1
Nordjylland;2020-09-25;2
Sjælland;2020-09-25;1
Syddanmark;2020-09-25;2
Hovedstaden;2020-09-26;5
Midtjylland;2020-09-26;4
Nordjylland;2020-09-26;1
Sjælland;2020-09-26;2
Hovedstaden;2020-09-27;10
Midtjylland;2020-09-27;2
Nordjylland;2020-09-27;1
Sjælland;2020-09-27;3
Syddanmark;2020-09-27;3
Hovedstaden;2020-09-28;13
Midtjylland;2020-09-28;1
Sjælland;2020-09-28;1
Syddanmark;2020-09-28;6
Hovedstaden;2020-09-29;6
Midtjylland;2020-09-29;4
Nordjylland;2020-09-29;2
Syddanmark;2020-09-29;2
Hovedstaden;2020-09-30;8
Midtjylland;2020-09-30;5
Sjælland;2020-09-30;4
Syddanmark;2020-09-30;2
Hovedstaden;2020-10-01;7
Midtjylland;2020-10-01;8
Nordjylland;2020-10-01;2
Sjælland;2020-10-01;2
Syddanmark;2020-10-01;4
Hovedstaden;2020-10-02;6
Midtjylland;2020-10-02;4
Nordjylland;2020-10-02;3
Sjælland;2020-10-02;5
Syddanmark;2020-10-02;1
Hovedstaden;2020-10-03;9
Midtjylland;2020-10-03;2
Hovedstaden;2020-10-04;11
Midtjylland;2020-10-04;3
Nordjylland;2020-10-04;1
Sjælland;2020-10-04;1
Syddanmark;2020-10-04;4
Hovedstaden;2020-10-05;15
Midtjylland;2020-10-05;8
Nordjylland;2020-10-05;2
Sjælland;2020-10-05;2
Syddanmark;2020-10-05;2
Hovedstaden;2020-10-06;7
Midtjylland;2020-10-06;1
Syddanmark;2020-10-06;2
Hovedstaden;2020-10-07;9
Midtjylland;2020-10-07;3
Nordjylland;2020-10-07;1
Sjælland;2020-10-07;2
Syddanmark;2020-10-07;1
Hovedstaden;2020-10-08;3
Midtjylland;2020-10-08;4
Sjælland;2020-10-08;1
Syddanmark;2020-10-08;1
Hovedstaden;2020-10-09;3
Midtjylland;2020-10-09;4
Nordjylland;2020-10-09;2
Sjælland;2020-10-09;2
Syddanmark;2020-10-09;3
Hovedstaden;2020-10-10;5
Midtjylland;2020-10-10;2
Nordjylland;2020-10-10;3
Sjælland;2020-10-10;2
Syddanmark;2020-10-10;2
Hovedstaden;2020-10-11;6
Midtjylland;2020-10-11;3
Nordjylland;2020-10-11;2
Sjælland;2020-10-11;1
Syddanmark;2020-10-11;2
Hovedstaden;2020-10-12;12
Midtjylland;2020-10-12;8
Nordjylland;2020-10-12;1
Sjælland;2020-10-12;1
Syddanmark;2020-10-12;2
Hovedstaden;2020-10-13;8
Midtjylland;2020-10-13;4
Nordjylland;2020-10-13;1
Sjælland;2020-10-13;1
Syddanmark;2020-10-13;3
Hovedstaden;2020-10-14;10
Midtjylland;2020-10-14;5
Nordjylland;2020-10-14;2
Sjælland;2020-10-14;1
Syddanmark;2020-10-14;2
Hovedstaden;2020-10-15;11
Midtjylland;2020-10-15;4
Nordjylland;2020-10-15;5
Syddanmark;2020-10-15;1
Hovedstaden;2020-10-16;8
Midtjylland;2020-10-16;5
Nordjylland;2020-10-16;1
Sjælland;2020-10-16;3
Syddanmark;2020-10-16;1
Hovedstaden;2020-10-17;8
Midtjylland;2020-10-17;3
Nordjylland;2020-10-17;1
Sjælland;2020-10-17;2
Syddanmark;2020-10-17;1
Hovedstaden;2020-10-18;10
Midtjylland;2020-10-18;6
Nordjylland;2020-10-18;3
Syddanmark;2020-10-18;5
Hovedstaden;2020-10-19;10
Midtjylland;2020-10-19;5
Nordjylland;2020-10-19;1
Sjælland;2020-10-19;5
Syddanmark;2020-10-19;3
Hovedstaden;2020-10-20;10
Midtjylland;2020-10-20;3
Nordjylland;2020-10-20;1
Sjælland;2020-10-20;1
Syddanmark;2020-10-20;4
Hovedstaden;2020-10-21;13
Midtjylland;2020-10-21;5
Nordjylland;2020-10-21;1
Sjælland;2020-10-21;2
Syddanmark;2020-10-21;4
Hovedstaden;2020-10-22;12
Midtjylland;2020-10-22;2
Sjælland;2020-10-22;2
Syddanmark;2020-10-22;2
Hovedstaden;2020-10-23;11
Midtjylland;2020-10-23;3
Nordjylland;2020-10-23;4
Sjælland;2020-10-23;5
Syddanmark;2020-10-23;2
Hovedstaden;2020-10-24;11
Midtjylland;2020-10-24;4
Nordjylland;2020-10-24;2
Sjælland;2020-10-24;3
Syddanmark;2020-10-24;2
Hovedstaden;2020-10-25;13
Midtjylland;2020-10-25;2
Nordjylland;2020-10-25;3
Sjælland;2020-10-25;1
Syddanmark;2020-10-25;7
Hovedstaden;2020-10-26;12
Midtjylland;2020-10-26;6
Nordjylland;2020-10-26;3
Sjælland;2020-10-26;7
Syddanmark;2020-10-26;2
Hovedstaden;2020-10-27;16
Midtjylland;2020-10-27;9
Nordjylland;2020-10-27;4
Sjælland;2020-10-27;1
Syddanmark;2020-10-27;4
Hovedstaden;2020-10-28;12
Midtjylland;2020-10-28;6
Nordjylland;2020-10-28;5
Sjælland;2020-10-28;2
Syddanmark;2020-10-28;5
Hovedstaden;2020-10-29;18
Midtjylland;2020-10-29;5
Nordjylland;2020-10-29;4
Sjælland;2020-10-29;2
Syddanmark;2020-10-29;8
Hovedstaden;2020-10-30;11
Midtjylland;2020-10-30;8
Nordjylland;2020-10-30;5
Sjælland;2020-10-30;4
Syddanmark;2020-10-30;5
Hovedstaden;2020-10-31;21
Midtjylland;2020-10-31;4
Nordjylland;2020-10-31;4
Sjælland;2020-10-31;5
Syddanmark;2020-10-31;6
Hovedstaden;2020-11-01;15
Midtjylland;2020-11-01;8
Sjælland;2020-11-01;1
Syddanmark;2020-11-01;12
Hovedstaden;2020-11-02;21
Midtjylland;2020-11-02;4
Nordjylland;2020-11-02;3
Sjælland;2020-11-02;4
Syddanmark;2020-11-02;8
Hovedstaden;2020-11-03;21
Midtjylland;2020-11-03;4
Nordjylland;2020-11-03;7
Sjælland;2020-11-03;6
Syddanmark;2020-11-03;3
Hovedstaden;2020-11-04;22
Midtjylland;2020-11-04;7
Nordjylland;2020-11-04;6
Sjælland;2020-11-04;11
Syddanmark;2020-11-04;6
Hovedstaden;2020-11-05;16
Midtjylland;2020-11-05;7
Nordjylland;2020-11-05;5
Sjælland;2020-11-05;8
Syddanmark;2020-11-05;11
Hovedstaden;2020-11-06;14
Midtjylland;2020-11-06;8
Nordjylland;2020-11-06;2
Sjælland;2020-11-06;2
Syddanmark;2020-11-06;6
Hovedstaden;2020-11-07;12
Midtjylland;2020-11-07;4
Nordjylland;2020-11-07;4
Sjælland;2020-11-07;5
Syddanmark;2020-11-07;3
Hovedstaden;2020-11-08;14
Midtjylland;2020-11-08;6
Nordjylland;2020-11-08;4
Sjælland;2020-11-08;7
Syddanmark;2020-11-08;7
Hovedstaden;2020-11-09;25
Midtjylland;2020-11-09;11
Nordjylland;2020-11-09;6
Sjælland;2020-11-09;8
Syddanmark;2020-11-09;6
Hovedstaden;2020-11-10;15
Midtjylland;2020-11-10;7
Nordjylland;2020-11-10;2
Sjælland;2020-11-10;6
Syddanmark;2020-11-10;6
Hovedstaden;2020-11-11;26
Midtjylland;2020-11-11;8
Nordjylland;2020-11-11;3
Sjælland;2020-11-11;6
Syddanmark;2020-11-11;3
Hovedstaden;2020-11-12;14
Midtjylland;2020-11-12;10
Sjælland;2020-11-12;3
Syddanmark;2020-11-12;5
Hovedstaden;2020-11-13;18
Midtjylland;2020-11-13;10
Nordjylland;2020-11-13;3
Sjælland;2020-11-13;5
Syddanmark;2020-11-13;3
Hovedstaden;2020-11-14;16
Midtjylland;2020-11-14;6
Nordjylland;2020-11-14;2
Sjælland;2020-11-14;7
Syddanmark;2020-11-14;2
Hovedstaden;2020-11-15;19
Midtjylland;2020-11-15;8
Sjælland;2020-11-15;3
Syddanmark;2020-11-15;2
Hovedstaden;2020-11-16;26
Midtjylland;2020-11-16;11
Nordjylland;2020-11-16;4
Sjælland;2020-11-16;6
Syddanmark;2020-11-16;3
